example_id                                                     | status  | run_time        |
./spec/routing/countries_routing_spec.rb[1:1:4]                | passed  | 0.001 seconds   |
./spec/routing/countries_routing_spec.rb[1:1:5]                | passed  | 0.00098 seconds |
./spec/routing/countries_routing_spec.rb[1:1:6]                | passed  | 0.001 seconds   |
./spec/routing/countries_routing_spec.rb[1:1:7]                | passed  | 0.00099 seconds |
./spec/routing/countries_routing_spec.rb[1:1:8]                | passed  | 0.00116 seconds |
./spec/routing/historical_data_routing_spec.rb[1:1:1]          | passed  | 0.00128 seconds |
./spec/routing/historical_data_routing_spec.rb[1:1:2]          | passed  | 0.0013 seconds  |
./spec/routing/historical_data_routing_spec.rb[1:1:3]          | passed  | 0.0014 seconds  |
./spec/routing/historical_data_routing_spec.rb[1:1:4]          | passed  | 0.00131 seconds |
./spec/routing/historical_data_routing_spec.rb[1:1:5]          | passed  | 0.00118 seconds |
./spec/routing/historical_data_routing_spec.rb[1:1:6]          | passed  | 0.00133 seconds |
./spec/routing/historical_data_routing_spec.rb[1:1:7]          | passed  | 0.01082 seconds |
./spec/routing/historical_data_routing_spec.rb[1:1:8]          | passed  | 0.00113 seconds |
./spec/routing/industries_routing_spec.rb[1:1:1]               | passed  | 0.00108 seconds |
./spec/routing/industries_routing_spec.rb[1:1:2]               | passed  | 0.00111 seconds |
./spec/routing/industries_routing_spec.rb[1:1:3]               | passed  | 0.00147 seconds |
./spec/routing/industries_routing_spec.rb[1:1:4]               | passed  | 0.00106 seconds |
./spec/routing/industries_routing_spec.rb[1:1:5]               | passed  | 0.00119 seconds |
./spec/routing/industries_routing_spec.rb[1:1:6]               | passed  | 0.00115 seconds |
./spec/routing/industries_routing_spec.rb[1:1:7]               | passed  | 0.00111 seconds |
./spec/routing/industries_routing_spec.rb[1:1:8]               | passed  | 0.00101 seconds |
./spec/routing/markets_routing_spec.rb[1:1:1]                  | passed  | 0.00179 seconds |
./spec/routing/markets_routing_spec.rb[1:1:2]                  | passed  | 0.00122 seconds |
./spec/routing/markets_routing_spec.rb[1:1:3]                  | passed  | 0.00105 seconds |
./spec/routing/markets_routing_spec.rb[1:1:4]                  | passed  | 0.00117 seconds |
./spec/routing/markets_routing_spec.rb[1:1:5]                  | passed  | 0.00128 seconds |
./spec/routing/markets_routing_spec.rb[1:1:6]                  | passed  | 0.00109 seconds |
./spec/routing/markets_routing_spec.rb[1:1:7]                  | passed  | 0.00113 seconds |
./spec/routing/markets_routing_spec.rb[1:1:8]                  | passed  | 0.0013 seconds  |
./spec/routing/sectors_routing_spec.rb[1:1:1]                  | passed  | 0.0011 seconds  |
./spec/routing/sectors_routing_spec.rb[1:1:2]                  | passed  | 0.00144 seconds |
./spec/routing/sectors_routing_spec.rb[1:1:3]                  | passed  | 0.0016 seconds  |
./spec/routing/sectors_routing_spec.rb[1:1:4]                  | passed  | 0.0014 seconds  |
./spec/routing/sectors_routing_spec.rb[1:1:5]                  | passed  | 0.00133 seconds |
./spec/routing/sectors_routing_spec.rb[1:1:6]                  | passed  | 0.00146 seconds |
./spec/routing/sectors_routing_spec.rb[1:1:7]                  | passed  | 0.00149 seconds |
./spec/routing/sectors_routing_spec.rb[1:1:8]                  | passed  | 0.00127 seconds |
./spec/views/companies/edit.html.haml_spec.rb[1:1]             | passed  | 0.05203 seconds |
./spec/views/companies/index.html.haml_spec.rb[1:1]            | passed  | 0.07046 seconds |
./spec/views/companies/new.html.haml_spec.rb[1:1]              | passed  | 0.03428 seconds |
./spec/views/companies/show.html.haml_spec.rb[1:1]             | passed  | 0.02169 seconds |
./spec/views/countries/edit.html.haml_spec.rb[1:1]             | passed  | 0.03593 seconds |
./spec/views/countries/index.html.haml_spec.rb[1:1]            | passed  | 0.01449 seconds |
./spec/views/countries/new.html.haml_spec.rb[1:1]              | passed  | 0.03337 seconds |
./spec/views/countries/show.html.haml_spec.rb[1:1]             | passed  | 0.01196 seconds |
./spec/views/historical_data/edit.html.haml_spec.rb[1:1]       | failed  | 0.06797 seconds |
./spec/views/historical_data/index.html.haml_spec.rb[1:1]      | failed  | 0.02103 seconds |
./spec/views/historical_data/new.html.haml_spec.rb[1:1]        | failed  | 0.03641 seconds |
./spec/views/historical_data/show.html.haml_spec.rb[1:1]       | passed  | 0.01502 seconds |
./spec/views/industries/edit.html.haml_spec.rb[1:1]            | passed  | 0.05552 seconds |
./spec/views/industries/index.html.haml_spec.rb[1:1]           | passed  | 0.02292 seconds |
./spec/views/industries/new.html.haml_spec.rb[1:1]             | passed  | 0.03331 seconds |
./spec/views/industries/show.html.haml_spec.rb[1:1]            | passed  | 0.01475 seconds |
./spec/views/markets/edit.html.haml_spec.rb[1:1]               | passed  | 0.04711 seconds |
./spec/views/markets/index.html.haml_spec.rb[1:1]              | passed  | 0.26707 seconds |
./spec/views/markets/new.html.haml_spec.rb[1:1]                | passed  | 0.03367 seconds |
./spec/views/markets/show.html.haml_spec.rb[1:1]               | passed  | 0.01726 seconds |
./spec/views/sectors/edit.html.haml_spec.rb[1:1]               | passed  | 0.03826 seconds |
./spec/views/sectors/index.html.haml_spec.rb[1:1]              | passed  | 0.01634 seconds |
./spec/views/sectors/new.html.haml_spec.rb[1:1]                | passed  | 0.03369 seconds |
./spec/views/sectors/show.html.haml_spec.rb[1:1]               | passed  | 0.01327 seconds |
